韓劇名稱,類型,演員名稱,發行年份,圖片,預告
哲仁皇后,喜劇古裝,申惠善、金正賢、羅人友、薛仁雅、裴宗玉、金太祐,2020,https://a.ksd-i.com/a/2020-11-18/131715-888027.jpg,https://www.youtube.com/watch?v=5z5DcWky2Fs
海岸村恰恰恰,愛情喜劇日常,申敏兒、金宣虎、李相二,2021,https://www.dramaqueen.com.tw/images/video_poster/2021/2021082414135346218faa6374218a01c73dc792ed1e527c9c.jpg,https://www.youtube.com/watch?v=40ln5uRFgmk
殭屍校園,校園驚悚,朴持厚、尹燦榮、趙怡賢、羅門、劉仁秀、李瑜美,2022,https://www.niusnews.com/upload/imgs/default/202201_JENNNNNN/302/6.jpg,https://www.youtube.com/watch?v=BsSLyvvKTq4
人性課外課,驚悚校園犯罪,金東希、 鄭多彬、朴柱炫、南潤壽,2020,https://www.themoviedb.org/t/p/original/jfLW9pz2FAcYJFzHY5PEBxc4Q7m.jpg,https://www.youtube.com/watch?v=RqNAsv_24js
Sweet Home,動作驚悚,宋江、李到晛、李陣郁、李詩英,2020,https://news.agentm.tw/wp-content/uploads/官方海報-9.jpg,https://www.youtube.com/watch?v=LZsmvmavvBg
一半的一半,愛情日常,丁海寅、蔡秀彬、李荷娜、金成圭,2020,https://a.ksd-i.com/a/2020-02-26/124589-818452.jpg,https://www.youtube.com/watch?v=ASgwrUhi3yw
九尾狐傳,愛情奇幻,李棟旭、金汎、曹寶兒,2020,https://bucket-img.tnlmedia.com/cabinet/files/consoles/2/teams/2/2021/8/GHe0H1rQSHBJs6KLnCapSe620W40InxTNEXOhbYD.jpg,https://www.facebook.com/watch/?v=374036230651083
Penthouse上流戰爭,狗血,金素妍、柳真、李智雅、嚴基俊,2020,https://a.ksd-i.com/a/2021-05-17/135513-906839.jpg,https://www.youtube.com/watch?v=RB_sVIHJRZ8
柔美的細胞小將,愛情喜劇日常,金高銀、安普賢,2021,https://i0.wp.com/xnfood.com.tw/wp-content/uploads/20211005212455_66.jpg,https://www.youtube.com/watch?v=uxp7e8J6o6k
那年，我們的夏天,愛情喜劇日常,崔宇植、金多美、金聖喆、盧正義,2021,https://a.ksd-i.com/a/2021-12-02/138734-926429.jpeg,https://www.youtube.com/watch?v=NpZeGngWyXw
魷魚遊戲,動作驚悚,李政宰、朴海秀、吳永洙、魏嘏雋、鄭好娟、許城泰,2021,https://cdn.sputniknews.cn/img/07e5/0a/08/1034615893_0:104:1500:948_1920x0_80_0_0_13f1b8261b34e70303eadfcba6a870d9.jpg,https://www.youtube.com/watch?v=x_7gXc-xCJk
以吾之名,動作犯罪,韓韶禧、朴喜洵、安普賢,2021,https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/以吾之名-主海報-1632987016.jpg,https://www.youtube.com/watch?v=SpvSEm_DH_Q
社內相親,愛情喜劇,安孝燮、金世正、金旻奎、薛仁雅,2022,https://imgur.dcard.tw/prg4m1Ah.jpg,https://www.youtube.com/watch?v=68HiU17KpEg
二十五，二十一,愛情校園,金泰梨、南柱赫、苞娜、崔顯旭、李宙明,2022,https://media.vogue.com.tw/photos/620a3cb2a1d364fa7db83682/2:3/w_2560%2Cc_limit/f637798291391433538.jpg,https://www.youtube.com/watch?v=FhWBssPtZ4k
千元律師,喜劇,南宮珉、金智恩、崔代勳、李德華,2022,https://a.ksd-i.com/a/2022-09-16/143381-953937.jpg,https://www.youtube.com/watch?v=lr5zVeGZhhE
我們的藍調時光,日常喜劇愛情,李炳憲、申敏兒、車勝元、李姃垠、韓志旼、金宇彬、嚴正化、金惠子、高斗心,2022,https://a.ksd-i.com/a/2022-06-01/141584-944316.jpeg,https://www.youtube.com/watch?v=D2D9D6KG5YU
月升之江,愛情古裝,金所泫、羅人友、李知勳、崔有華,2021,https://media.zenfs.com/vi/bntnews.cn/44051bd5d0cd8d5a3b0cbf20929d8b50,https://www.youtube.com/watch?v=HPHtp9Idvzc
模範計程車,動作犯罪,李帝勳、李絮、金義聖、表藝珍,2021,https://www.dramaqueen.com.tw/images/video_poster/2021/20210330124555435596e640ee0abe0a080ac21bfab6c6aebd.jpg,https://www.youtube.com/watch?v=kVaSPHV3Vk4
酒鬼都市女人們,喜劇日常,李先彬、韓善伙、鄭恩地、崔始源,2021,https://a.ksd-i.com/a/2022-01-28/139652-932612.jpg,https://www.youtube.com/watch?v=UjxNihJMOKQ
